FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2SWING.MID,1,2,SWG_0001,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:1-2
2SWING.MID,3,4,SWG_0002,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:3-4
2SWING.MID,5,6,SWG_0003,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:5-6
2SWING.MID,7,8,SWG_0004,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:7-8
2SWING.MID,9,10,SWG_0005,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:9-10
2SWING.MID,11,12,SWG_0006,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:11-12
2SWING.MID,13,14,SWG_0007,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:13-14
2SWING.MID,15,16,SWG_0008,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:15-16
2SWING.MID,17,18,SWG_0009,4/4,LEGACY,YES,SWG,8T,NO,,2SWING.MID:17-18
